id,clean_content,label
615,enggak bisa obrol kan asik,Non Self-Harm
616,hey kendali ambil alih asmin kreyep kreyep asik banget kayak tadi obrol sama asmin jamet asmin dinkun sekarang gilir asmin kreyep kreyep yuk sini yuk,Non Self-Harm
617,eh aku bilang aku enggak open apa apa pls aku cuma pengin obrol asik arah kesana mamah tolongin mah,Non Self-Harm
618,r lewat asik obrol total,Non Self-Harm
619,eh lu should try jalan basement blok sama square buat lihat lihat buku bekas mostly jual asik ajak obrol terus jajan duduk taman literasi sore sore not bad too,Non Self-Harm
620,obrol sama lu asik bang jokesnya alir lancar kayak sungai sampah,Non Self-Harm
621,iya banget masa asik obrol tiba tiba mati daya,Non Self-Harm
622,asik benar obrol enggak habis tetap fokus ho,Non Self-Harm
623,waktu kkn aku dideketin sama anak teknik beda desa agama aku iyain kalo ajak gereja bareng beberapa bulan obrol sambung asik terus kemudian tahu pdkt cewek,Non Self-Harm
624,zima pls omong malah zima kecil asik obrol sama getian,Non Self-Harm
625,dulu jarang obrol sama bpk sekarang bpk kena demensia omong suka ngelantur lah malah asik obrol nye,Non Self-Harm
626,benar banget nikmat makan sama kerabat obrol bareng asik bareng sekal tani kopi rokok sama mungkin jarang temu,Non Self-Harm
627,need kakak adek cewek asik clingy suka cerita open buat obrol deep nakal enggak ghosting kadang aku kalem kadang benar benar dirty suka call jadi kalo kamu suka sambung intens tinggal jejak sama,Non Self-Harm
628,terus pernah gue bilang stop pak kiri jarak cukup angkot ngerem arti enggak dekat banget tempat gue henti nih supir enggak dengar malah asik obrol sama tumpang belah,Non Self-Harm
629,gua bilang obrol sama seru asik brayy,Non Self-Harm
630,waktu dua nyata baru selesai sama kisah cinta masing masing jadi obrol sok asik nostalgia dulu bagaimana saling maaf gue sih minta maaf pelan pelan banget buat ngelangkah siap aku,Non Self-Harm
631,iya wkwkwk lihat banget beda tuh pas obrol sama aku kadang mikir apa aku enggak asik apa bagaimana nada bicara beda banget pas baca tweetmu apa segan,Non Self-Harm
632,magang loca feed tuh enggak cuma ajar soal pakan rendah karbon seru banget mulai urus bahan baku low carbon feed obrol asik sama mentor ketawa ketawa bareng teman magang lain jadi alam enggak bakal dilupain,Non Self-Harm
633,hei bestie lama enggak obrol nih aku ceritain fakta lucu tahu kamu lebah tari buat kasih tahu teman mana bunga kocak kan serius ai kayak aku hibur jangan lupa obrol sama teman asli soal aku asik koneksi manusia,Non Self-Harm
634,tau live stream discord waktu covid satset leadershipnya enggak tukang carry main game apa jago skillnya cuman kadang emosi batu anjir tetap paling suka tonton pov epun seru banget bahkan obrol doang asik,Non Self-Harm
635,enggak biasa sih aku pernah naik angkot reguler tumpang ribut sopir biasa kalo lebih pilih nurut gaslight enggak arah sama sih pramudi kalo lihat asik obrol sama pramudi memang kenal lama biasa,Non Self-Harm
636,memang sih masa kecil dulu tahu hp asik main obrol bareng teman teman lihat era sekarang beda banyak anak kecil pegang gadget,Non Self-Harm
637,eh sebentar kenal nama ku sodorin tangan entah tiba aku pengin ngajakin kamu kenal lihat kayak kamu anak asik buat ajak obrol enggak sini kalo kamu tarik kamu kok save no aku,Non Self-Harm
638,merhaba arkada lar hari sabtu kemarin asik bincang giat ngopi obrol putar iman sama ustadz cal akar yuk simak seru,Non Self-Harm
639,asik dulu obrol sih asli,Non Self-Harm
640,aseliiii jarang chattan kalo obrol tetap sambung asik besttt,Non Self-Harm
641,tarik kenal banyak orang filsafat mostly sangat kritis asik kalo obrol,Non Self-Harm
642,asik ajak obrol nyata bahas masa lalu mulu anying,Non Self-Harm
643,waktu angkat pilih dospem smt nemu dosen asik senior segani terus pdkt minta beliau jadi dospem nanti smt iseng coret draft bab suka ruang obrol kalo sore pas waktu skripsi kelar cepat pas sidang bain banget,Non Self-Harm
644,enggak ada main hp mah malah asik obrol,Non Self-Harm
645,baik baik banget orang orang roblox kayak map buat santai obrol seru kadang ajak obrol sokab asik reng sama bocil map brookhaven pakai cheat,Non Self-Harm
646,gilir asik ajak obrol akun malah hilang,Non Self-Harm
647,gracia sih kakak dengar sekali cerita fens nya terus ci gracia bikin mood jelek jadi bahagia banget kalo ketemu ku kakak asik kalo obrol sama tingkah laku biar boring wkwkwk,Non Self-Harm
648,obrol bareng buat sejahtera ojol lebih asik manfaat banding diam offbid,Non Self-Harm
649,jelasin singkat bab kalo aku dosen asik obrol sendiri jadi enggak terlalu merhatiin,Non Self-Harm
650,seru deh obrol asik dnd wkwkwk,Non Self-Harm
651,orang tiba nimbrung katai sok asik asli kesal banget padahal asbun ketawa tiap obrol tiba nimbrung bawa topik enggak jelas awal enggak apa lama kesal,Non Self-Harm
652,false asik obrol sama newizzy,Non Self-Harm
653,damn grok lebih asik ajak obrol,Non Self-Harm
654,lihat max sama lando teman suka banding balik race imola jadi akrab banget asik obrol dua kadang suka diam kadang obrol ada friendship macam apa wkwk,Non Self-Harm
655,berani lowkey anjeeerr duduk samping cuma senyum gilir tutup kaca asik obrol,Non Self-Harm
656,yakann asik kaya obrol sama mayene pas bareng cari milady,Non Self-Harm
657,iya hoon aa lebih asik ngobrolnya jam jam asi obrol hoon aa sendiri kalau pergi lebih suka sendiri tani,Non Self-Harm
658,terima,Non Self-Harm
659,asik obrol bang,Non Self-Harm
660,halo kalis welcome home asik keverif oa deketan begini jangan bosan sama gua oke araci oppa obrol maut pisah,Non Self-Harm
661,gue capek kesel banget sama siklus romansa hidup gue deh seru asik frekuensi ajak obrol sambung gagal tengah jalan capeee banget kapansih lurusss enggak usah neko begini allah kapaannn,Non Self-Harm
662,siapasih nyalain musik buru buru kan jesbible gue asik obrol,Non Self-Harm
663,padahal obrol asik banget sama hijab iriiii,Non Self-Harm
664,kayak lucu deh kalau obrol sama boothill chill asik banget,Non Self-Harm
665,kalau ajak anak memang asik sendiri sama dunia plis ibu jangan sangka enggak waras obrol sama anapas,Non Self-Harm
666,seru banget selalu ketemu orang baik kadang ketemu orang seru banget ajak obrol nya asik laku lanjut benar benar kayak enggak addfriend jadi benar benar moment seru doang,Non Self-Harm
667,sama mamaaa gueeee baikkkk bgttttt hwhshsh candu antartika ajg seruuuuu sekali kalo ajak obrol jarang on hiks enggak apa aku tetap sayang selalu ingat lupa asik asik asik asikk aaakkkkk sabar banget buset ngadepin oknum enggak bucin mika,Non Self-Harm
668,hi wts teman baik gue f orgnya baik banget cute isi muka vibesnya kayak raisa cantik orang tgrang dom bekas kerja keras kadang ovt asik buat ajak obrol solutif aku mau happy jaga sama laki manly siap mlndungi mapan,Non Self-Harm
669,eh sumpah iya ipin lucu banget pliiss terus asik banget ajak obrol lucu muka,Non Self-Harm
670,obrol sama bapak gojek selalu asik,Non Self-Harm
671,makan ramen daerah minyak terus gue asik obrol enggak sengaja lihat this father and his two songs langsung lihat banget hes japanese cara makan they have their own way enjoy ramen indeed,Non Self-Harm
672,langsung tbtb ajak obrol orang kayak gua tbtb cengar cengir excited sendiri sama mak gua dahal enggak ada asik,Non Self-Harm
673,sekarang dua dalem terus malah asik obrol,Non Self-Harm
674,ganti aku tanya sih kalo memang orang asik buat obrol,Non Self-Harm
675,cari teman obrol asik entah obrol biasa sayang sayang hts friendzone bagai sama cewek satu orang seru baik selalu banyak topik poin plus jago flirting,Non Self-Harm
676,haloo moga aku enggak telat aku mau majuin dhika nih banget nih kirim vn nemenin kamu suara dengar obrol jadi asik tuker tukeran vn personality cek,Non Self-Harm
677,kalian benar mikir pasang kalian gua bikin stres cuma kalo gua nikah sama obrol asik puluh tahun enggak sama lampu mati hidup kalo tidur anything else komunikasiin imo,Non Self-Harm
678,mau bareng sama kakak biar obrol ngalor ngidulnya asik,Non Self-Harm
679,obrol sama bocil tuh asik guys they re pure genuine,Non Self-Harm
680,betyuulll mau topik kecoa kalo orang asik ajak obrol mah seru,Non Self-Harm
681,hai there i sama looking for longterm partner asik ajak obrol suka call suka ngabarin good listener enggak drytext f,Non Self-Harm
682,terus jadi takut kalau enggak beri takut kayak kurang usaha kurang provide butuh orang kayak rasa usaha lebih asik seru obrol kasih bikin nyaman,Non Self-Harm
683,siapa sangka nyata lama coach gue multi fandom bjir ajak obrol kpop wibu thailand asik banget anjay,Non Self-Harm
684,ersya lama enggak obrol face face asik event sama oa enggak keeho,Non Self-Harm
685,enggak sih enggak usah duduk sesuai absen anjirt enggak asik banget jam siang enggak punya teman obrol fakkk mana pojok banget,Non Self-Harm
686,pertama kalo coba ngopi kasih pilih blue flag ajak obrol red flag jangan ganggu benar dong beberapa kali sapa ajak obrol asik nekstaym coba bengkel,Non Self-Harm
687,obrol sama siapa sik lihat asik banget,Non Self-Harm
688,need kakak adek cewek asik clingy suka cerita open buat obrol deep nakal enggak ghosting kadang aku kalem kadang benar benar dirty suka call jadi kalo kamu suka sambung intens tinggal jejak sama kali,Non Self-Harm
689,pernah nginep villa sama keluarga besar hari pertama cerita nenek om sama bapak dapur dekat kolom renang asik obrol tiba suara kayak orang renang padahal pas lihat nggakk apa terus habis tuh suara cewek ketawa konon,Non Self-Harm
690,im looking for longterm partner prefer asik ajak obrol good listener prefer lovlang nya quality time sama,Non Self-Harm
691,benar ng date asik kalau obrol sambung mana asal nyaman lupa waktu,Non Self-Harm
692,gees kamu super friendly sekali obrol agak langsung akrab hahaha terus humble asik banget deh kalo interaksi sama kamu terima kasih kadang jadi sambung aku sama kakak mu dayi hehehe,Non Self-Harm
693,benar banget apa enak obrol kalo enggak asik,Non Self-Harm
694,i jarang banget lihat pakai ava eunwoo btw kamu lihat asik banget anak obrol banyak yuk sekali teman,Non Self-Harm
695,sih tengil jalan asik obrol sama ayang sempat nya ngejailin orang,Non Self-Harm
696,eh lupa nyata tuh lapang brigif cimahi konfirm sama mas ilyas tadi obrol panjang lebar brondi orgnya asik komunikasi arah seru hahaha,Non Self-Harm
697,banding mikir foto bareng kaya nih banyak asik obrol sama mikir sempat enggak ngejar kereta lokal jam sekian krl,Non Self-Harm
698,omgggg kamu sobatkuu asik banget terus enggak kayak first impression aku kira kamu orang serius banget nyata kamu asik banget ajak obrol tiba kirim tiktok angst tsoa sayat hati,Non Self-Harm
699,asik diajakin obrol cewek cantik,Non Self-Harm
700,chill bareng teman jadi lebih asik sama darmi drink beng beng rasa cokelat bikin obrol makin seru susu mbok darmi juara,Non Self-Harm
701,benci banget sama orang ngajakin meet asik sendiri sama hp nya maksud gue loh gue sini depan biji mata sama biji peler lu rill manusia hidup nyepong ngangkang kalo asik obrol sama orang hp kapai puki ngajakin,Non Self-Harm
702,pas ketemu pertama lebih asik sama hp obrol sama aku,Non Self-Harm
703,mana enggak lawak ku nyariin deh asik obrol sharing standny pule,Non Self-Harm
704,sapa aku sering lihat vc enggak pernah obrol sering lihat tweet nya kayak orang nya asik pengin mutualan sama,Non Self-Harm
705,rd jarang interaksi lucu sih kayak asik cuma jarang obrol sama,Non Self-Harm
706,rin sering lihat asik sih orang nya sering vc sih jarang obrol pengin kenal dekat sama sih,Non Self-Harm
707,au dulu aku sering lihat nih orang live chat pas obrol asik sih lihat nya dongo pas awal kenal kayak jamet,Non Self-Harm
708,soal ganteng keren main fcnya hae chan bang taren selalu jadi jawab paling cocok sama kamu cari hari minggu memang pas pacar recharge energy manja manja asik loh diajakin obrol santai,Non Self-Harm
709,asik banget obrol banyak sama cekin hari,Non Self-Harm
710,inuak mulai asik sama status baru sekarang jadi enggak obrol sama hanbing kalau kata sih ayam dulu kalau kata bagaimana,Non Self-Harm
711,aku baru sadar aku obrol asik sama orang kalo bpk lebih kalo enggak ada bpk aku ngangong enggak enjoy,Non Self-Harm
712,masa mianhaemianhae kalau aku lihat hard padahal cukup panggil nama tiga kali shakil shakil shakil aku langsung muncuuul bawa yupi banyak hehehe kamu tau kira bakal susah deketinnya nyata asik seru enak ajak obrol hiluhilu p,Non Self-Harm
713,wokee asli sih kepo soal pas iklan tetap obrol kan asik banget kayak dua ehem,Non Self-Harm
714,enggak tau jauh pernah ikut spess aku asik hanyaa dunia maya kalau obrol malu malu meong,Non Self-Harm
715,kemarin mau ajak asik obrol sama cicak,Non Self-Harm
716,gambar pria cemburu habis lihat perempuan obrol asik sama lawan jenis enhypen brought the heat back,Non Self-Harm
717,kalo sering obrol lama lama asik,Non Self-Harm
718,mau jual teman butuh teman obrol cium kata orang suka tulis tulis oke kayak butuh perhati soal badan enggak fit review overall asik ajak obrol beliau gampang tipu,Non Self-Harm
719,cari ayng asik ajak obrol,Non Self-Harm
720,kalian suka rasai enggak sih asik obrol terus tiba kelar obrol kayak bakal coba cari topik baru biar tetap lanjut obrol aku chattingan sama teman kelas asik bahas animejujur enggak pengin kelar obrol pas kls enggak obrol soal,Non Self-Harm
721,terus jaga semangat tetap jadi sosok andal tetap asik ajak obrol kerja bareng kamu bukan cuma juang event mood booster satu tim let si go kapten takluk misi ikut bareng bareng,Non Self-Harm
722,aku teman kok pas fyp dekat sekarang fyp asik kok jangan takut be open and jangan lupa jangan takut interaksi sama ajak kenal orang obrol obrol ringan pokok dont be afraid get know people,Non Self-Harm
723,pokok tuh kayak asik obrol sama teman teman padus angkat gue memang kenal satu ekskul mpkosis gue sama muya sama cuman ngedengerin gue fokus arah lapang posisi tuh gue duduk posisi paling belakang panggung tempat biasa sih keyboard,Non Self-Harm
724,asik banget lu bwang obrol ketawa ketiwi,Non Self-Harm
725,anjing gilir sama gue enggak pernah tuh obrol motor padahal pacar deh tahun lah lu antar orang balik sih cewek nya sok asik ajak obrol lu tanggepin ngentooot,Non Self-Harm
726,kepul kok kamu asik banget sih jadi cowok suka banget deh ngabisin waktu buat obrol sama kamu plissss jangan terlalu friendly aku cemburu imaksifess,Non Self-Harm
727,info fanbase ngetranslate lengkap awal akhir juseyooo kalau translate obrol pas iklan ngobrolnya kayak asik betul enggak ada jeda diam dieman segala bahas kayak,Non Self-Harm
728,allah terima kasih puas banget tonton walaupun enggak erti obrol apa wkwk betah banget mantengin jam lebih lihat ketawa bareng ngerumpi fun fact ketawa aku ikut ketawa coba saat selam translate kepo ih pas iklan ngobrolin apa asik betul,Non Self-Harm
729,enggak memang dasar background awal beda lama aku terima penting suami nyaman lepas penat sama aku tetap asik obrol lawan sama jenis jangan lawan jenis sih,Non Self-Harm
730,siap obrol pisah warga tempat salam kenal linemate rekomendasi lagu kamu asik banget enggak minat dengar hobi samain diving benar enggak suka suka upchar upchar,Non Self-Harm
731,asik obrol dua kapai kamu jadi begini om,Non Self-Harm
732,gue nongkrong sendiri asik baca buku enggak scroll sosmed sama teman teman pasang asik main hp sendiri sendiri obrol sebentar habis main hp,Non Self-Harm
733,popular opinion akting nya bagus banget tiap podcast asik banget ajak obrol bring positive vibes,Non Self-Harm
734,akun mana live translatein jinxwendy wehh pengin tau obrol apa asik betull,Non Self-Harm
735,mamahable kakakable at the same time ku kakak dulu tuh sempat kayak unreachable nyata kakak super humble asik ajak obrol,Non Self-Harm
736,ih pasar omong apa asik obrol dua hahaha,Non Self-Harm
737,asik benar obrol apee sih,Non Self-Harm
738,eh asik banget deh obrol dua aku mau ikut egk sih,Non Self-Harm
739,tadi lewat gara-gara asik obrol,Non Self-Harm
740,omg hahaha mkci kakak kalo kakak odre awal ku kira jutek soal dulu jarang obrol sekarang asik kocak banget sinefil garis keras,Non Self-Harm
741,eh lucu banget nyata dosbingku suka koleksi baca buku mana jadi asik obrol sama beliau,Non Self-Harm
742,posthink mungkin tidur kerja mungkin hp nya sita sama atas mungkin asik obrol sama teman,Non Self-Harm
743,i feel you kak pernah kayak begini enggak mau ngebonceng gua takut diledekin dicie ciein kalo ajak main banyak gua selalu jalan paling belakang asik obrol tiap gua ikut nimbrung respon nya minim ribu,Non Self-Harm
744,seru banget semua asik parahhh asmin membernya baik baik semua suka ajak obrol moga habis enih teman iah,Non Self-Harm
745,si okayy miaa obrol sama kamu asik kok,Non Self-Harm
746,gemas banget banyak banget interaksi santa sini asik bareng gemini tarik sama p dong obrol seru bareng p earth lanjut bareng perth dllperthsanta domiia journey,Non Self-Harm
747,lu harus join my gengs teman cewek gue either kampus sini asik banget kalo ajak obrol masalah cewek,Non Self-Harm
748,mutualan yuk asik orang sering jbjb suka jokes receh humoris jangan kaku jadi orang obrol sama pak rt lo f jakarta here,Non Self-Harm
749,pergi buat beli makan dulu baru mau salon bareng aku rencana potong rambut,Non Self-Harm
750,lagi jam segitu malah asik obrol anjir bukan fokus ca,Non Self-Harm
751,aku fan mu kak aura badass banget entah kalo obrol sama aku gemeter dikit baik banget ramah asik kalo ajak canda,Non Self-Harm
752,r medikk sekbum tergacor kamu seperti aktif banget deh oomf jaman prasejarah hahaha awal awal banget deh seru n asik banget ajak obrol orangnyaa pernah obrol rl gas hopefully lebih dekat lgiii ehehhe,Non Self-Harm
753,padahal obrol asik sama bang dragon beliau malah kena tilang atmin moga lekas sembuh akun bang,Non Self-Harm
754,hehe hoping nya sih mutualan asik ajak obrol soal isi dm request kalo enggak minta rate pap kintil tanya rate,Non Self-Harm
755,ayok teman sama sean gais anak ramah asik ajak obrol sama chill rating fr,Non Self-Harm
756,macam sih jenis nya jokes nya benar masuk tiap obrol ketawa ketiwi benar asik banget anger issue argh kesel beberapa sama sum ew kebelet pacar minta pap,Non Self-Harm
757,kalem lihat galak seeeeeedikit nyata kamu super duper humble sangat asik ajak obrol,Non Self-Harm
758,sama introvert banget kayak enggak kalo obrol tiap hari kalo ajak obrol tetap asik kok,Non Self-Harm
759,sekali teman obrol asikk seru deh obrol sama natha apa obrilin sama anak rada tengil baik seru kocak kalo jadi bestie asik banget dah rill enggak bohong hobi mam sekali jalan pagi aku izin dropp carrdnya sekali sih,Non Self-Harm
760,buat apa sosial kalo obrol sama diri sendiri lebih asik anjay,Non Self-Harm
761,n cantik cantik banget enggak pernah lihat kamu enggak serving face lucu banget bloon bloon bagaimana maaf kalo kadang emosi waktu obrol sama kamu kamu asik kok enggak sangka badan kecil kalo makan kaya tzuyang,Non Self-Harm
762,kayak mau obrol random asik kali ayo dm dmann,Non Self-Harm
763,ci kayak kalem asik sih,Non Self-Harm
764,asik obrol lupa mandi,Non Self-Harm
765,cari pasang seru asik ajak obrol,Non Self-Harm
766,obrol banyaaak banget padahal awal aku ragu lost contact nyata asik ngobrolnya ngobrolin kuliah teman keluarga asik banget pokonyaa,Non Self-Harm
767,minat obrol banyak digrebek warga asik banget sama ayang,Non Self-Harm
768,lihat gua asik sendiri sibuk sendiri yapping sendiri selingin obrol sama teman benar benar platonik biar enggak tiba perilaku gila jadi taksir,Non Self-Harm
769,lihat dd eh aku sering begadang sih asik jadi teman obrol jam gin,Non Self-Harm
770,gasuka sama cewek anggur gilir gue harus harapin justru rasa kalo bukan cinta lebih pilih asik obrol sama cewek wkwkwk lucu mana gue lagj semester tua wkwk anjing,Non Self-Harm
771,gue introvert bbrapa kali ikut ot sempat trauma susah buat foto sendiri kalo enggak bawa tripod pernah jadi gue mau coba ektrovert sok asik obrol sama orang mau minta foto tau nya gue dinyinyirin jadi gue selalu usahain cari teman ot tl nya bantu foto,Non Self-Harm
772,aku sekarang aku lebih asik kalo ajak obrol langsung dichat aku bad texter habis kayak maaf banget kalo suka telat bahkan enggak balas chat deh inti hari keren banget aku sayang sama diri sendiri terima kasih dunia,Non Self-Harm
773,asik sama dunia sendiri mulu terus tiba tiba mau tidur gua pengin ajak obrol cerita capek mendem semua sendiri fak lah anjing,Non Self-Harm
774,malam calon istri cantik seperti bakal asik punya istri capek habis kerja sambut sama istri cantik kayak kamu tanya bagaimana hari mau pukis enggak saling obrol as pasutri bahagia haha ayom,Non Self-Harm
775,f aku baru sadar kalau sering interaksi beb kayak asik buat ajak obrol euh cabul jadi aku takoet dikit banyak sih hehe,Non Self-Harm
776,asik asik benerin strap hp live tiktok obrol sama customer nya order,Non Self-Harm
777,betul pernah obrol sama sekali jadi apa obrolin gee mau apa asik keren banget,Non Self-Harm
778,iya aku nontonnya asa vcall sama hyunsuk dianggurin asik obrol sama teman tongkrong,Non Self-Harm
779,pacar extrovert banget asik banget obrol sama abang gocar,Non Self-Harm
780,mau photo enggak aku ajak obrol cuek padahal mah kalo asik gue ikut asik pernah sih bahas soal tadi ajahh djjdjddjdb sjsjjdbduxhsnaaka saltenggg,Non Self-Harm
781,kelas suka anime banget kalo nyuruh gue cepat selesaiin anime rekomendasi kesal bjir aslinyaa iring jalan waktu jadi asik buat ajak obrol suka gambar baru keren bjir hasil,Non Self-Harm
782,obrol komen jinhyung enggak sadar kali kira group chat soal asik banget,Non Self-Harm
783,false asik banget bang benar deh baru obrol sama abang kaya ayuk nongski enak,Non Self-Harm
784,caleb teman baik suami sering main rumah kalo weekend buat laku giat ala bapak bapak entah tonton motogp bareng omong kerja ngoprek motor pokok asik dua sekal zayne lihat giat ikut obrol sama caleb,Non Self-Harm
785,live jin asik obrol malah jimin tae hobi,Non Self-Harm
786,tutor biar obrol asik,Non Self-Harm
787,trust me obrol sama aku lebih asik pas kenal dekat kalo baru kenal aku kaku banget enggak tau mau basa basi apa,Non Self-Harm
788,gong pas asik obrol padahal live renti terus seokjin muncul ngusir yaallah lucu banget aku gakuaaat,Non Self-Harm
789,punya hajat keluar adeknya asik obrol komen,Non Self-Harm
790,live nya kelar orang asik obrol,Non Self-Harm
791,akwkkw lucu asik obrol padahal livenya selesai aaaaaaaaaa kangen,Non Self-Harm
792,asik obrol,Non Self-Harm
793,wkwkwkwk diomelin lagi hyungnya presentasi malah asik obrol,Non Self-Harm
794,bukan unpopular opinion aku pengin banget teman bu suri kayak asik banget tiap lihat beliau obrol padahal umur mama aku umur anak huhuw,Non Self-Harm
795,chill dulu kuim nikmat obrol sama teman teman tuh asik kok enggak aktipes banget tipes benar,Non Self-Harm
796,aku ingat pertama kali pas nemu kamu post pakai bahasa jp aku kira kamu orang jp terus bingung kawan darimana pengin obrol malu sekarang obrol yeyy kamu asik,Non Self-Harm
797,wkwk mau ngelapor tata tata asik disuapin es krim sama obrol bareng dong ppe dijailin willest lol live kali perthsanta,Non Self-Harm
798,orang asik rame buat obrol pas mng vc kemarin sempat lama enggak vc orang ingat nama suka biasa pantesan jadi top member waronya kencang banget,Non Self-Harm
799,haha joe aku sama surya kenal billy cuma obrol kali baru obrol soal sound horeg bikin heboh pasuruan eh kamu tiba tiba tanya kayak billy orang asik pernah,Non Self-Harm
800,aku datang telat jadi duduk belakang terus sempat obrol depan mau nyapa kamu kamu asik obrol,Non Self-Harm
801,staff nya asik obrol langsung nyeletuk bagaimana kalo dinamain deadline nahloh,Non Self-Harm
802,begini nih kalo teman lama ketemu asik obrol lupa foto pas balik baru ingat wkwkwkwk,Non Self-Harm
803,setan framing mulu belakang obrol asik kalo enggak dibolehin tinggal bilang jangan orang marbotnya kalo memang tempat ibadah,Non Self-Harm
804,gue salah based alam gue pribadingobrol sama nih anak nyata se asik tek tok an nnya enggak perlu takut bakal obrol satu arah tiba mati topik one of the recommended member kalo kalian cari talktive,Non Self-Harm
805,jadi ingat pas semester an kayak gue pernah modusin kating gue demen ajak joging eh pas joging bawa teman anjir mana asik benar tuh dua obrol asa gue nyamuk jadi ngebayangin raih sama josa jangan jangan,Non Self-Harm
806,nontonnnnn cepat banget sih anak ekskul catur main padahal asik banget obrol e,Non Self-Harm
807,kang batagor bahkan kemarin sempat obrol sama sales datang kantor tiba tiba jadi asik suasana pas tinggal aku ajak obrol,Non Self-Harm
808,izin nambahin bang memang se asik vc ella buat gua enggak punya topik jadi obrol buka topik gua heran manggil gua bapak guru ingat padahal vc nya sok mulu banyak beli senang sih diinget wkwkkw,Non Self-Harm
809,kamu kalo obrol sama aku rasa asik enggak,Non Self-Harm
810,dulu crush orang sana asli jaman intl seru banget cuman modal papago asik sih takut salah untung baik hati banget kadang suka koreksi sama kalau obrol,Non Self-Harm
811,tahi lu pernah gas kenal sama orang lu lupa tanya nama saking asik nya obrol anjing pls gue pikir,Non Self-Harm
812,asik banget obrol sama wonbin tidur wonbin terima kasih ngelive selamat bobok,Non Self-Harm
813,livy omong apa nya tau obrol nya sama siapa memang orang nya bawa asik jadi ngimbangin gasii kayak enggak maksud katai deh,Non Self-Harm
814,dah memang gue enggak cocok jadi orang ajak obrol duluan terus sok asik deh memang tabiat gue orang nya diam malas sama orang,Non Self-Harm
815,masuk tadi aku sempat duduk depan kamu kamu asik obrol,Non Self-Harm
816,gua kalau nyaman lebih banyak spending time roomchat alias lupa buat pamer asik obrol damn,Non Self-Harm
817,n akjsbskajah enggak tau mau deskripsiin bagaimana lihat nya orang nya asik buat ajak obrol,Non Self-Harm
818,sumpah lucu banget kalo ikut abang nongkrong es selalu asik sendiri abang sibuk obrol sama teman es enggak erti topik,Non Self-Harm
819,sama kamu mah obrol apa tetap bakal asik,Non Self-Harm
820,pertama kalo tanya tanya dulu basic nama terus kamu kudu tau celah topik omong terus ajak obrol jangan lupa miroring kalo ajak obrol asik kamu asik kalo mulai kayak apas weh arti enggak perlu lanjut,Non Self-Harm
821,r teman nya gin omagaa bubub ku luplup nya baik asik jujur senang banget pas kamu ajak aku masuk dc hehe seru kalo ajak obrol mau obrol oc nya gemas nikah sama oc ku bub ku sifat nya sama gin wkwkwk,Non Self-Harm
822,tahi banget asli hari reall gue tuh free banget banget banget asik tadi gue tonton bag mora jalan smbl tunggu bag fattzar malah datang tamu kalo ngbrl enggak brnti allah hti gue deh komat kamit pliss kelarin baru klar obrol sekarang bjir ktinggln banyak anjing gue,Non Self-Harm
823,kan zhang hao kalo obrol suka asik banget,Non Self-Harm
824,obrol tuh asik banget woyyyy aaaggrrhhhh terima kasih tuhan cipta obrol,Non Self-Harm
825,anak asik pernah coba vc kalau sama enggak bbrapa kali waktu sama enggak pertama kali sama nih anak lihat excited banget lihat kalau obrol sama badan enggak diam selalu gerak wkwk obrol bikin ketawa,Non Self-Harm
826,bayang banget suara berisik ketawa ketawa asik sendiri obrol bucin introvert sengir nyegir doang enggak bisa diam kaki tangan,Non Self-Harm
827,gue enggak rl enggak sosmed benar benar introvert nyata pengin kaya orang orang asik obrol,Non Self-Harm
828,hahaha tadi obrol sama siapa tuh asik banget kaya iyan,Non Self-Harm
829,haa apa hadir ditungguin jadi malu iya benar kok baru muncul kemarin malam reveal wajah asik obrol sama pacar hehe kamu asik enggak kak apa asik sendiri,Non Self-Harm
830,obrol nya asik betul gue mau ikut,Non Self-Harm
831,lah malah tadi gue asik ngetawain sama beberapa teman atiny lain kayak lucu enggak sih nyata obrol sama ai bilang kangen kakek sih ai asih rekomendasi cara kenang kakek aktivitas biasa kakek laku,Non Self-Harm
832,nih bocil titan sayang asik kalo ajak obrol aku dukung mampu lepia,Non Self-Harm
833,jujurr durasi nya kurang banget minimal se jam lohhhhasik banget mesa obrol sama boyy,Non Self-Harm
834,kadang gue pengin seru pengin jadi asik pengin obrol banyak sama kenal gue bingung mau bahas balas apa jadi gue selalu ended with,Non Self-Harm
835,tadi pas ruang tunggu senang banget kenal sama interviewee kaya nih frekuensi deh abis seru banget interaksi kayak lama kenal sesal enggak sempat mutualan ig saking asik obrol terus enggak lama panggil user buat interview,Non Self-Harm
836,aku pinjemin baju ganti aku main game bola slesai mandi n ganti baju gila berani enggak pakai bh puting ngejiplak jelas banget aku pura enggak tahu aku ajak obrol kena nyata orang asik main game aku ajak main,Non Self-Harm
837,daechinso jaehyun pernah ketemu staf tempat muji kamu sama hanbin hebat banget daechinso bagaimana susah obrol asik sama senior idol baru pertama kali ketemu loh hebat banget pokok,Non Self-Harm
838,trgantung sih kalo responnya baik asik lnjut obrol,Non Self-Harm
839,kesel banget allah ibu gue sakit pagi gue ngerjain kerja rumah mandi nyuapin bocil masak nasi masak lauk nyuci baru makan tadi banget tetiba bocil datang ada kotor habis main bapak gue asik obrol sama tamu capek,Non Self-Harm
840,enggak semua member fokus tonton after show malah asik obrol sendiri,Non Self-Harm
